date,state_territory,state,population_estimate,positive_increase,total_tests_viral,positive_cases_viral,total_test_encounters_viral,rate_of_new_cases,rate_of_pcr_tests,percent_positivity,new_case_moving_ave,pcr_test_moving_ave,percent_positivity_moving_ave
2020-05-16,Colorado,CO,5695564,394,NA,19151,135313,6.9176643436892284,2375.7612064406617,0.14153111674414137,5.8265896556889345,2372.555704253847,0.1418081032714794
2020-05-15,Colorado,CO,5695564,363,NA,18804,131051,6.373381108525863,2300.9310403675563,0.14348612372282546,5.114255836396787,2307.005943572928,0.14362496688882187
2020-05-14,Colorado,CO,5695564,318,NA,18461,127034,5.583292541353235,2230.4024676046133,0.14532329927421006,4.840860109978323,2241.952809991375,0.14559757674178445
2020-05-13,Colorado,CO,5695564,278,NA,18211,123213,4.880991592755344,2163.3151694897992,0.14780096256076874,6.032263504921174,2175.3696636289474,0.14773031864143488
2020-05-12,Colorado,CO,5695564,-20,NA,17983,120284,-0.35115047429894564,2111.889182528719,0.14950450600246085,5.109239401049659,2108.139397106741,0.1498520650314117
2020-05-11,Colorado,CO,5695564,196,NA,17809,117213,3.441274648129667,2057.9700272001155,0.15193707182650387,6.634235746576509,2038.114976096184,0.15225374275697529
2020-05-10,Colorado,CO,5695564,876,NA,17491,113189,15.380390774293819,1987.3185517711677,0.15452915035913384,7.005451962263966,1969.873897851531,0.1544071982397511
2020-05-09,Colorado,CO,5695564,26,NA,16969,108509,0.45649561658862936,1905.1493407852147,0.15638334147397911,7.454422925831905,1903.2882432714302,0.1563471212043933
2020-05-08,Colorado,CO,5695564,971,NA,16532,103133,17.04835552721381,1810.760093293658,0.16029786780177052,8.186822486512563,1836.4994230597706,0.15812720086649037
2020-05-07,Colorado,CO,5695564,466,NA,16012,99827,8.181806051165433,1752.7149198920424,0.16039748765364079,8.723581068655236,1771.8149974762314,0.15969963127759484
2020-05-06,Colorado,CO,5695564,457,NA,15600,96666,8.023788337730908,1697.215587429094,0.16138042331326424,7.672637863431963,1708.2392041044072,0.161202085967595
2020-05-05,Colorado,CO,5695564,272,NA,15169,93656,4.77564645046566,1644.3674410471026,0.16196506363714017,8.821401557924228,1648.0369635035265,0.16266014432296108
2020-05-04,Colorado,CO,5695564,410,NA,14897,91424,7.198584723128385,1605.1790481153403,0.16294408470423521,7.705244693188293,1592.9514869567163,0.1637609276299171
2020-05-03,Colorado,CO,5695564,457,NA,14498,87842,8.023788337730908,1542.287998168399,0.16504633318913503,6.594104263799487,1537.8509611038646,0.16497119602493737
2020-05-02,Colorado,CO,5695564,484,NA,14078,84507,8.497841478034484,1483.73365657905,0.16658974996154166,7.5948831155514815,1483.7712798441535,0.16615149276579977
2020-05-01,Colorado,CO,5695564,526,NA,13637,81171,9.23525747406227,1425.1617574659858,0.1680033509504626,8.01124724936309,1430.4641296278999,0.16742855803633935
2020-04-30,Colorado,CO,5695564,23,NA,13148,77859,0.4038230454437875,1367.0112389220806,0.16886936641878267,8.169264962797614,1376.0859704650345,0.16868955285081969
2020-04-29,Colorado,CO,5695564,856,NA,12741,75105,15.029240299994873,1318.6578186111155,0.169642500499301,8.808860469556409,1322.573146399549,0.1698844077825029
2020-04-28,Colorado,CO,5695564,438,NA,12374,72403,7.690195387146909,1271.217389533328,0.17090452053091723,10.088051483073995,1270.0435436621,0.1707966247908827
2020-04-27,Colorado,CO,5695564,473,NA,11980,69744,8.304708717170064,1224.5319339752832,0.17177104840559762,9.731884573427923,1212.7157205151236,0.17180318911352394
2020-04-26,Colorado,CO,5695564,712,NA,11533,66507,12.500956885042465,1167.698229709999,0.17341031771091764,10.755237384241992,1158.9194678525253,NA
2020-04-25,Colorado,CO,5695564,994,NA,10995,63564,17.452178572657598,1116.026437416909,0.1729752690202001,9.463505282356584,1106.5955389643088,NA
2020-04-24,Colorado,CO,5695564,384,NA,10208,58315,6.742089106539757,1023.8669954371508,0.17504930120895137,9.307995786595624,1057.3466849438817,NA
2020-04-23,Colorado,CO,5695564,431,NA,NA,56411,7.5672927211422785,990.4374702838911,NA,8.866549476048379,1011.062544213607,NA
2020-04-22,Colorado,CO,5695564,341,NA,NA,54244,5.987115586797024,952.3903163936004,NA,8.048870514466547,968.3174986207312,NA
2020-04-21,Colorado,CO,5695564,376,NA,NA,52768,6.601628916820178,926.4754113903382,NA,6.488759121509803,928.9886454992492,NA
2020-04-20,Colorado,CO,5695564,297,NA,NA,51291,5.214584543339343,900.542948863361,NA,6.516349515919006,898.5464075952042,NA
2020-04-19,Colorado,CO,5695564,386,NA,NA,49465,6.777204153969651,868.4829105598674,NA,6.285593489951127,869.1300307196468,NA
2020-04-18,Colorado,CO,5695564,372,NA,NA,47884,6.531398821960389,840.7244655665356,NA,6.0573456816568125,842.1842482525499,NA
2020-04-17,Colorado,CO,5695564,395,NA,NA,46178,6.935221867404176,810.7713301088356,NA,5.131813360111735,816.3872294799452,NA
2020-04-16,Colorado,CO,5695564,339,NA,NA,44683,5.952000539367129,784.5228321549894,NA,6.3708728908523,789.7951057048207,NA
2020-04-15,Colorado,CO,5695564,250,NA,NA,43501,4.389380928736821,763.7698391239218,NA,6.363348237831609,761.2992447154613,NA
2020-04-14,Colorado,CO,5695564,7,NA,NA,42483,0.12290266600463098,745.8962799821054,NA,5.430291263265838,730.5936439556921,NA
2020-04-13,Colorado,CO,5695564,791,NA,NA,40689,13.888001258523301,714.39808243749,NA,6.584071393105232,699.9657979438033,NA
2020-04-12,Colorado,CO,5695564,383,NA,NA,38104,6.724531582824809,669.0118836343512,NA,6.300642795992511,667.5721666897256,NA
2020-04-11,Colorado,CO,5695564,0,NA,NA,35642,0,625.7852602481511,NA,6.318200319707458,635.050616334296,NA
2020-04-10,Colorado,CO,5695564,855,NA,NA,33967,15.011682776279924,596.3764080256144,NA,6.8574671195236965,600.9840038919513,NA
2020-04-09,Colorado,CO,5695564,226,NA,NA,31768,3.968000359578086,557.7674133764452,NA,5.839130744056754,568.4022563123561,NA
2020-04-08,Colorado,CO,5695564,257,NA,NA,30535,4.512283594741452,536.1189866359152,NA,5.861704703118829,536.9868299509684,NA
2020-04-07,Colorado,CO,5695564,222,NA,NA,28901,3.8977702647182966,507.42999288569143,NA,6.977861567854764,506.8104631203211,NA
2020-04-06,Colorado,CO,5695564,385,NA,NA,27699,6.759646630254704,486.32584938032477,NA,5.801507478953296,476.28043759770134,NA
2020-04-05,Colorado,CO,5695564,392,NA,NA,25579,6.882549296259334,449.10389910463647,NA,6.17774012998788,447.2804248559556,NA
2020-04-04,Colorado,CO,5695564,445,NA,NA,23611,7.813098053151541,414.5506924336202,NA,6.38341397922012,417.12914020204397,NA
2020-04-03,Colorado,CO,5695564,386,NA,NA,21795,6.777204153969651,382.666229367276,NA,5.8265896556889345,387.5472209600313,NA
2020-04-02,Colorado,CO,5695564,376,NA,NA,20206,6.601628916820178,354.7673241842248,NA,6.2805770546040005,356.8842599007127,NA
2020-04-01,Colorado,CO,5695564,339,NA,NA,18514,5.952000539367129,325.059994058534,NA,6.117542905822346,328.32067703416703,NA
2020-03-31,Colorado,CO,5695564,0,NA,NA,17107,0,300.35655819160314,NA,5.7638842138498365,300.46190333389285,NA
2020-03-30,Colorado,CO,5695564,566,NA,NA,15474,9.937558422660162,271.68512196509425,NA,5.658539071560154,273.16246217482336,NA
2020-03-29,Colorado,CO,5695564,327,NA,NA,14191,5.741310254787761,249.15881903881686,NA,5.1518791015002465,245.25101590340432,NA
2020-03-28,Colorado,CO,5695564,304,NA,NA,12504,5.337487209343974,219.5392765317008,NA,4.783171103486353,218.73915509383392,NA
2020-03-27,Colorado,CO,5695564,344,NA,NA,10911,6.039788157941865,191.57014125378979,NA,5.106731183376096,192.66874059481077,NA
2020-03-26,Colorado,CO,5695564,174,NA,NA,9078,3.0550091264008272,159.38720028429142,NA,3.978033230272342,168.37665242634444,NA
2020-03-25,Colorado,CO,5695564,192,NA,NA,7944,3.3710445532698783,139.47696839154122,NA,3.4387664304561043,143.7359220012527,NA
2020-03-24,Colorado,CO,5695564,129,NA,NA,6713,2.2649205592281993,117.8636566984411,NA,2.8919749776191743,121.23971768705812,NA
2020-03-23,Colorado,CO,5695564,116,NA,NA,5789,2.0366727509338847,101.64050478582982,NA,2.1821493760005914,100.71497246428474,NA
2020-03-22,Colorado,CO,5695564,112,NA,NA,4367,1.9664426560740957,76.67370606317478,NA,1.8284906840280821,83.47348417620651,NA
2020-03-21,Colorado,CO,5695564,86,NA,NA,3535,1.5099470394854662,62.065846332338644,NA,1.4046018971957832,67.2302665222067,NA
2020-03-20,Colorado,CO,5695564,61,NA,NA,2728,1.0710089466117843,47.89692469437619,NA,1.1537801298393935,52.91837647685111,NA
2020-03-19,Colorado,CO,5695564,33,NA,NA,2204,0.5793982825932603,38.696782267743814,NA,0.8628268797059814,40.16408960677869,NA
2020-03-18,Colorado,CO,5695564,23,NA,NA,1468,0.4038230454437875,25.77444481354261,NA,0.6571530304737419,30.527517304946198,NA
2020-03-17,Colorado,CO,5695564,29,NA,NA,1007,0.5091681877334712,17.68042638095191,NA,0.5141846230805996,22.496204314194596,NA
2020-03-16,Colorado,CO,5695564,0,NA,NA,704,0,12.360496695322887,NA,0.42890522217942717,16.150413600077936,NA
2020-03-15,Colorado,CO,5695564,30,NA,NA,525,0.5267257114484185,9.217699950347322,NA,0.3887737394024048,10.797877084692578,NA
2020-03-14,Colorado,CO,5695564,29,NA,NA,333,0.5091681877334712,5.846655397077445,NA,0.3712162156874575,NA,NA
2020-03-13,Colorado,CO,5695564,27,NA,NA,198,0.47405314030357665,3.4763896955595617,NA,0.3060025561747962,NA,NA
2020-03-12,Colorado,CO,5695564,17,NA,NA,70,0.2984779031541038,1.2290266600463096,NA,0.30851077384836006,NA,NA
2020-03-11,Colorado,CO,5695564,16,NA,NA,NA,0.28092037943915654,NA,NA,0.23326424364144313,NA,NA
2020-03-10,Colorado,CO,5695564,3,NA,NA,NA,0.05267257114484185,NA,NA,0.17557523714947348,NA,NA
2020-03-09,Colorado,CO,5695564,1,NA,NA,NA,0.017557523714947284,NA,NA,0.11286979531037607,NA,NA
